year,mmm,month-num,mmm-yyyy,beef-produce,veal-produce,milk-produce
1995,Jan,1,Jan-95,2010,27,13170
1995,Feb,2,Feb-95,1811,24,12126
1995,Mar,3,Mar-95,2067,27,13622
1995,Apr,4,Apr-95,1854,22,13330
1995,May,5,May-95,2186,26,13868
1995,Jun,6,Jun-95,2285,26,13267
1995,Jul,7,Jul-95,2089,24,13141
1995,Aug,8,Aug-95,2316,26,12751
1995,Sep,9,Sep-95,2220,26,12316
1995,Oct,10,Oct-95,2181,27,12674
1995,Nov,11,Nov-95,2098,27,12232
1995,Dec,12,Dec-95,1998,26,12795
1996,Jan,1,Jan-96,2220,30,13068
1996,Feb,2,Feb-96,2048,30,12411
1996,Mar,3,Mar-96,2035,30,13509
1996,Apr,4,Apr-96,2154,28,13211
1996,May,5,May-96,2302,30,13561
1996,Jun,6,Jun-96,2186,29,12815
1996,Jul,7,Jul-96,2194,32,12773
1996,Aug,8,Aug-96,2262,32,12594
1996,Sep,9,Sep-96,1934,31,12197
1996,Oct,10,Oct-96,2179,34,12684
1996,Nov,11,Nov-96,1955,30,12288
1996,Dec,12,Dec-96,1950,31,12895
1997,Jan,1,Jan-97,2222,31,13106
1997,Feb,2,Feb-97,1919,27,12104
1997,Mar,3,Mar-97,1966,28,13649
1997,Apr,4,Apr-97,2095,28,13379
1997,May,5,May-97,2189,26,13870
1997,Jun,6,Jun-97,2132,26,13325
1997,Jul,7,Jul-97,2256,27,13265
1997,Aug,8,Aug-97,2221,25,13000
1997,Sep,9,Sep-97,2126,28,12362
1997,Oct,10,Oct-97,2300,28,12768
1997,Nov,11,Nov-97,1934,24,12325
1997,Dec,12,Dec-97,2024,26,12938
1998,Jan,1,Jan-98,2157,24,13275
1998,Feb,2,Feb-98,1977,21,12188
1998,Mar,3,Mar-98,2081,23,13692
1998,Apr,4,Apr-98,2090,20,13485
1998,May,5,May-98,2123,19,13992
1998,Jun,6,Jun-98,2248,20,13276
1998,Jul,7,Jul-98,2213,21,13159
1998,Aug,8,Aug-98,2228,20,12932
1998,Sep,9,Sep-98,2197,22,12395
1998,Oct,10,Oct-98,2236,21,12921
1998,Nov,11,Nov-98,2003,19,12602
1998,Dec,12,Dec-98,2100,22,13345
1999,Jan,1,Jan-99,2170,18,13618
1999,Feb,2,Feb-99,1998,17,12593
1999,Mar,3,Mar-99,2231,20,14250
1999,Apr,4,Apr-99,2155,18,13919
1999,May,5,May-99,2151,17,14453
1999,Jun,6,Jun-99,2321,19,13625
1999,Jul,7,Jul-99,2256,19,13430
1999,Aug,8,Aug-99,2307,20,13348
1999,Sep,9,Sep-99,2275,20,12954
1999,Oct,10,Oct-99,2265,19,13410
1999,Nov,11,Nov-99,2144,19,13140
1999,Dec,12,Dec-99,2113,20,13849
2000,Jan,1,Jan-00,2178,17,14242
2000,Feb,2,Feb-00,2175,18,13582
2000,Mar,3,Mar-00,2300,20,14752
2000,Apr,4,Apr-00,2027,17,14380
2000,May,5,May-00,2303,19,14774
2000,Jun,6,Jun-00,2369,18,13989
2000,Jul,7,Jul-00,2202,18,14086
2000,Aug,8,Aug-00,2437,17,13766
2000,Sep,9,Sep-00,2275,17,13210
2000,Oct,10,Oct-00,2345,18,13691
2000,Nov,11,Nov-00,2169,18,13172
2000,Dec,12,Dec-00,1997,18,13749
2001,Jan,1,Jan-01,2205,18,14003
2001,Feb,2,Feb-01,1881,16,12867
2001,Mar,3,Mar-01,2096,16,14380
2001,Apr,4,Apr-01,1939,15,14077
2001,May,5,May-01,2294,16,14649
2001,Jun,6,Jun-01,2269,16,13959
2001,Jul,7,Jul-01,2177,16,13849
2001,Aug,8,Aug-01,2425,17,13537
2001,Sep,9,Sep-01,2121,15,13122
2001,Oct,10,Oct-01,2389,18,13598
2001,Nov,11,Nov-01,2201,16,13303
2001,Dec,12,Dec-01,2110,16,13988
2002,Jan,1,Jan-02,2331,17,14321
2002,Feb,2,Feb-02,1987,14,13259
2002,Mar,3,Mar-02,2059,15,14905
2002,Apr,4,Apr-02,2195,16,14620
2002,May,5,May-02,2336,16,15144
2002,Jun,6,Jun-02,2302,15,14325
2002,Jul,7,Jul-02,2427,17,14225
2002,Aug,8,Aug-02,2469,17,14145
2002,Sep,9,Sep-02,2201,16,13476
2002,Oct,10,Oct-02,2512,19,13897
2002,Nov,11,Nov-02,2164,17,13499
2002,Dec,12,Dec-02,2107,18,14247
2003,Jan,1,Jan-03,2291,18,14599
2003,Feb,2,Feb-03,1942,16,13448
2003,Mar,3,Mar-03,2048,17,15044
2003,Apr,4,Apr-03,2151,16,14641
2003,May,5,May-03,2360,16,15011
2003,Jun,6,Jun-03,2391,15,14337
2003,Jul,7,Jul-03,2439,15,14257
2003,Aug,8,Aug-03,2328,14,14017
2003,Sep,9,Sep-03,2314,15,13466
2003,Oct,10,Oct-03,2212,16,13891
2003,Nov,11,Nov-03,1783,15,13464
2003,Dec,12,Dec-03,1978,19,14173
2004,Jan,1,Jan-04,1926,16,14394
2004,Feb,2,Feb-04,1804,15,13605
